Series,Part #,Load (lb),Stiffness (lb/in),Type (for image),A (in),B (in),C (in),D (in),E (in),F (in),Plate ID (in),Plate Thickness (in)
2240A,2240A-X5,655,6250,2,2.35,0.66,2.19,1.5,0.82,2.11,2.38,
2245,,350 - 1000,5833 - 16667,1,2.5,0.65,1.62,1.69,0.62,2,1.5,0.75
2245,2245-X6,650,10833,1,2.5,0.65,1.62,1.69,0.62,2,1.5,0.75
2245,2245-X7,800,13333,1,2.5,0.65,1.62,1.69,0.62,2,1.5,0.75
2245,2245-X8,1000,16667,1,2.5,0.65,1.62,1.69,0.62,2,1.5,0.75
2245,2245-X4,350,5833,1,2.5,0.65,1.62,1.69,0.62,2,1.5,0.75
2250,,450 - 1200,6430 - 17143,1,2.5,0.64,1.61,1.75,0.61,2,1.5,0.75
2250,2250-X5,450,6430,1,2.5,0.64,1.61,1.75,0.61,2,1.5,0.75
2250,2250-X7,850,12143,1,2.5,0.64,1.61,1.75,0.61,2,1.5,0.75
2250,2250-X9,1200,17143,1,2.5,0.64,1.61,1.75,0.61,2,1.5,0.75
2252,,750 - 1500,7500 - 15000,1,2.8,0.81,1.62,1.63,0.69,2.38,1.5,0.75
2252,2252-X4,950,9500,1,2.8,0.81,1.62,1.63,0.69,2.38,1.5,0.75
2252,2252-X5,1050,10500,1,2.8,0.81,1.62,1.63,0.69,2.38,1.5,0.75
2252,2252-X7,1500,15000,1,2.8,0.81,1.62,1.63,0.69,2.38,1.5,0.75
2252,2252-X2,750,7500,1,2.8,0.81,1.62,1.63,0.69,2.38,1.5,0.75
2252,2252-X3,850,8500,1,2.8,0.81,1.62,1.63,0.69,2.38,1.5,0.75
2255,,500 - 950,3205 - 6090,1,2.5,0.64,1.63,2.12,1.01,3.2,1.5,0.75
2255,2255-X1,500,3205,1,2.5,0.64,1.63,2.12,1.01,3.2,1.5,0.75
2255,2255-X3,700,4487,1,2.5,0.64,1.63,2.12,1.01,3.2,1.5,0.75
2255,2255-X4,800,5128,1,2.5,0.64,1.63,2.12,1.01,3.2,1.5,0.75
